,day,idx,omit,reward_zone_end,reward_zone_start,swap_type,swap_zone_end,swap_zone_start,trial,trial_type,animal,hdb_labels,HMM_label
51,3,GCAMP7_3_51,False,370,320,swap_distal,130.0,80.0,51,post_swap,GCAMP7,65,1
52,3,GCAMP7_3_52,False,370,320,swap_distal,130.0,80.0,52,post_swap,GCAMP7,65,1
53,3,GCAMP7_3_53,False,370,320,swap_distal,130.0,80.0,53,post_swap,GCAMP7,67,1
54,3,GCAMP7_3_54,False,370,320,swap_distal,130.0,80.0,54,post_swap,GCAMP7,67,1
55,3,GCAMP7_3_55,False,370,320,swap_distal,130.0,80.0,55,post_swap,GCAMP7,86,10
56,3,GCAMP7_3_56,False,370,320,swap_distal,130.0,80.0,56,post_swap,GCAMP7,67,1
57,3,GCAMP7_3_57,True,370,320,swap_distal,130.0,80.0,57,post_swap,GCAMP7,78,10
58,3,GCAMP7_3_58,True,370,320,swap_distal,130.0,80.0,58,post_swap,GCAMP7,78,10
59,3,GCAMP7_3_59,False,370,320,swap_distal,130.0,80.0,59,post_swap,GCAMP7,65,1
60,3,GCAMP7_3_60,False,370,320,swap_distal,130.0,80.0,60,post_swap,GCAMP7,64,1
61,3,GCAMP7_3_61,False,370,320,swap_distal,130.0,80.0,61,post_swap,GCAMP7,64,1
62,3,GCAMP7_3_62,False,370,320,swap_distal,130.0,80.0,62,post_swap,GCAMP7,36,1
63,3,GCAMP7_3_63,False,370,320,swap_distal,130.0,80.0,63,post_swap,GCAMP7,36,1
64,3,GCAMP7_3_64,False,370,320,swap_distal,130.0,80.0,64,post_swap,GCAMP7,36,1
65,3,GCAMP7_3_65,False,370,320,swap_distal,130.0,80.0,65,post_swap,GCAMP7,64,1
66,3,GCAMP7_3_66,False,370,320,swap_distal,130.0,80.0,66,post_swap,GCAMP7,-1,2
67,3,GCAMP7_3_67,False,370,320,swap_distal,130.0,80.0,67,post_swap,GCAMP7,36,1
68,3,GCAMP7_3_68,False,370,320,swap_distal,130.0,80.0,68,post_swap,GCAMP7,65,1
69,3,GCAMP7_3_69,False,370,320,swap_distal,130.0,80.0,69,post_swap,GCAMP7,36,1
70,3,GCAMP7_3_70,False,370,320,swap_distal,130.0,80.0,70,post_swap,GCAMP7,36,1
71,3,GCAMP7_3_71,False,370,320,swap_distal,130.0,80.0,71,post_swap,GCAMP7,41,1
72,3,GCAMP7_3_72,False,370,320,swap_distal,130.0,80.0,72,post_swap,GCAMP7,67,10
73,3,GCAMP7_3_73,False,370,320,swap_distal,130.0,80.0,73,post_swap,GCAMP7,65,1
74,3,GCAMP7_3_74,False,370,320,swap_distal,130.0,80.0,74,post_swap,GCAMP7,65,1
75,3,GCAMP7_3_75,False,370,320,swap_distal,130.0,80.0,75,post_swap,GCAMP7,36,1
76,3,GCAMP7_3_76,False,370,320,swap_distal,130.0,80.0,76,post_swap,GCAMP7,36,1
77,3,GCAMP7_3_77,False,370,320,swap_distal,130.0,80.0,77,post_swap,GCAMP7,90,2
78,3,GCAMP7_3_78,False,370,320,swap_distal,130.0,80.0,78,post_swap,GCAMP7,64,1
79,3,GCAMP7_3_79,False,370,320,swap_distal,130.0,80.0,79,post_swap,GCAMP7,65,1
80,3,GCAMP7_3_80,False,370,320,swap_distal,130.0,80.0,80,post_swap,GCAMP7,1,2
81,3,GCAMP7_3_81,False,370,320,swap_distal,130.0,80.0,81,post_swap,GCAMP7,90,2
82,3,GCAMP7_3_82,False,370,320,swap_distal,130.0,80.0,82,post_swap,GCAMP7,90,2
83,3,GCAMP7_3_83,False,370,320,swap_distal,130.0,80.0,83,post_swap,GCAMP7,74,3
84,3,GCAMP7_3_84,False,370,320,swap_distal,130.0,80.0,84,post_swap,GCAMP7,98,2
85,3,GCAMP7_3_85,False,370,320,swap_distal,130.0,80.0,85,post_swap,GCAMP7,37,2
86,3,GCAMP7_3_86,False,370,320,swap_distal,130.0,80.0,86,post_swap,GCAMP7,2,2
87,3,GCAMP7_3_87,True,370,320,swap_distal,130.0,80.0,87,post_swap,GCAMP7,79,6
88,3,GCAMP7_3_88,False,370,320,swap_distal,130.0,80.0,88,post_swap,GCAMP7,67,10
89,3,GCAMP7_3_89,False,370,320,swap_distal,130.0,80.0,89,post_swap,GCAMP7,99,2
90,3,GCAMP7_3_90,False,370,320,swap_distal,130.0,80.0,90,post_swap,GCAMP7,21,2
91,3,GCAMP7_3_91,False,370,320,swap_distal,130.0,80.0,91,post_swap,GCAMP7,36,1
92,3,GCAMP7_3_92,False,370,320,swap_distal,130.0,80.0,92,post_swap,GCAMP7,41,2
93,3,GCAMP7_3_93,False,370,320,swap_distal,130.0,80.0,93,post_swap,GCAMP7,41,2
94,3,GCAMP7_3_94,True,370,320,swap_distal,130.0,80.0,94,post_swap,GCAMP7,3,0
95,3,GCAMP7_3_95,True,370,320,swap_distal,130.0,80.0,95,post_swap,GCAMP7,78,6
96,3,GCAMP7_3_96,False,370,320,swap_distal,130.0,80.0,96,post_swap,GCAMP7,65,1
97,3,GCAMP7_3_97,False,370,320,swap_distal,130.0,80.0,97,post_swap,GCAMP7,1,2
98,3,GCAMP7_3_98,False,370,320,swap_distal,130.0,80.0,98,post_swap,GCAMP7,88,2
99,3,GCAMP7_3_99,False,370,320,swap_distal,130.0,80.0,99,post_swap,GCAMP7,-1,2
0,5,GCAMP7_5_0,False,370,320,swap_proximal,250.0,200.0,0,pre_swap,GCAMP7,67,10
